timestamp,open,high,low,close,EMA_20,EMA_50,RSI_14
2025-09-12 04:00:00,115553.48783920688,116309.13992205483,115115.76036697008,115233.24925180568,115233.24925180568,115233.24925180568,
2025-09-12 08:00:00,115198.04689576304,115656.41297780728,115131.20467913683,115187.07717947869,115228.85191158406,115231.43858230268,
2025-09-12 12:00:00,115143.92060273138,115255.40950537156,114914.4648676887,114944.79334030188,115201.79871431908,115220.19759242029,
2025-09-12 16:00:00,114878.2508163472,115432.589608043,114838.42892043844,115157.3219542053,115197.56283240348,115217.73188111774,
2025-09-12 20:00:00,115142.91591236314,116704.71486571954,115132.9201794657,116704.71486571954,115341.10112129072,115276.0449393374,
2025-09-13 00:00:00,116480.98598785263,116483.29419999525,115853.98120204688,116160.14344594492,115419.10515221018,115310.7154690083,
2025-09-13 04:00:00,116091.80704192116,116328.26582332172,115817.78761225037,115987.13156450837,115473.2029057624,115337.24159040046,
2025-09-13 08:00:00,115934.03675108608,115934.03675108608,115727.12968861776,115830.7258312755,115507.2527081922,115356.59391357204,
2025-09-13 12:00:00,115828.38046332698,116191.09835870896,115828.38046332698,116020.667107693,115556.14931766847,115382.635999616,
2025-09-13 16:00:00,115971.50643620075,116077.2368417268,115738.76201749811,115784.10669515507,115577.85954409576,115398.37994846066,
2025-09-13 20:00:00,115817.33285128044,115842.03526531016,115304.41560900136,115824.01058670244,115601.3025005345,115415.07134603878,
2025-09-14 00:00:00,115837.62867738264,116028.41216096164,115837.62867738264,115970.58488443034,115636.47225138173,115436.8561906816,
2025-09-14 04:00:00,115974.8873939637,116140.90135111092,115765.7337797523,115771.51295218768,115649.3332705061,115449.97998525044,
2025-09-14 08:00:00,115708.98696921942,115977.41398349027,115571.19992191473,115800.96862956283,115663.7747332734,115463.74424581171,
2025-09-14 12:00:00,115826.6407174782,116182.77434894103,115826.6407174782,115840.05237982178,115680.56308056372,115478.50142753762,57.97804201851342
2025-09-14 16:00:00,115882.85033622768,115885.3778212756,115284.82930346744,115284.82930346744,115642.87414941171,115470.90644227996,51.13348708784736
2025-09-14 20:00:00,115264.81046966574,115677.31557724366,115264.81046966574,115643.06074641776,115642.89192055516,115477.65759146184,57.88475942492794
2025-09-15 00:00:00,115673.89884462304,116107.5762241078,115263.88971602828,115373.55555886828,115617.24083848974,115473.5751588111,52.41066711500592
2025-09-15 04:00:00,115278.5525158622,115570.04698816894,114915.4274542424,115539.11846907593,115609.80061283128,115476.14548470384,31.21885676841235
2025-09-15 08:00:00,115501.3042235996,116689.42234667669,115454.35792417264,115792.1934414128,115627.17135841047,115488.53952222184,43.45658768217559
2025-09-15 12:00:00,115800.82261966472,115800.82261966472,114790.34785164992,115095.94931978516,115576.57878330332,115473.14382800864,36.638300535563445
2025-09-15 16:00:00,115033.54381311937,115055.36085557216,114508.81348108068,114798.22619184008,115502.44996506872,115446.67646972752,35.14883082719528
